# Catalog for all galaxies that matched between 3DHST and PEARS. 
# pears_id redshift ra dec dn4000 dn4000_err d4000 d4000_err
34427 0.890 53.178320 -27.931510 1.0447 0.7662 1.1922 0.6708
33944 0.700 53.172900 -27.928910 1.0824 0.2657 1.1364 0.1976
34773 1.280 53.179340 -27.923600 1.1555 0.1642 1.5236 0.1481
35090 0.680 53.144010 -27.928780 1.1727 0.2233 1.2762 0.1841
35700 0.750 53.166280 -27.929970 0.9363 0.0000 1.3998 0.0000
35156 1.200 53.160980 -27.929120 2.1114 0.0000 1.3765 0.0000
35309 1.190 53.148590 -27.929020 0.9566 0.0000 1.0919 0.7867
36830 0.850 53.177940 -27.928700 0.9984 0.5186 1.1925 0.4475
36342 1.240 53.148190 -27.928860 1.0083 0.0000 1.0710 0.0000
37116 0.620 53.135190 -27.928380 1.2123 1.5872 1.5613 1.4422
37285 0.770 53.178620 -27.928130 1.6663 0.0000 1.0624 0.0000
36739 1.190 53.139010 -27.927040 1.4794 0.5404 1.3033 0.6420
37044 1.230 53.182750 -27.925010 1.0918 0.3213 1.3473 0.2621
36569 0.940 53.158840 -27.925240 1.2398 0.1966 1.1714 0.1425
36989 0.860 53.172620 -27.926140 1.0528 0.9254 1.0001 0.6833
37541 0.610 53.151700 -27.925680 1.0795 0.0000 1.2225 0.0000
36639 0.880 53.137950 -27.923830 1.3488 0.1750 1.8507 0.1571
37670 0.920 53.170520 -27.924230 0.9781 0.4626 1.2096 0.3795
36842 0.910 53.172270 -27.924400 0.7828 0.0000 0.5216 0.2749
37842 0.660 53.176660 -27.923990 1.3349 1.3316 1.4095 0.9231
38146 1.020 53.181460 -27.924430 0.8881 0.5560 1.1457 0.5042
37908 1.090 53.160560 -27.923020 1.2446 0.7945 1.3013 0.6268
37644 0.930 53.169840 -27.918150 1.1592 0.1218 1.3403 0.0985
36944 0.840 53.175470 -27.922370 0.8194 0.7300 1.0602 0.8985
38345 1.130 53.184810 -27.920430 1.1327 0.1560 1.1097 0.1089
38344 0.970 53.172090 -27.920530 1.2810 0.6071 1.5137 0.4860
36105 0.910 53.160840 -27.922050 1.3087 1.2577 0.8873 0.6042
37982 0.900 53.171680 -27.921840 0.9063 0.0000 1.1177 0.2639
37225 0.660 53.145640 -27.919770 1.1975 0.1575 1.3426 0.1246
38812 0.650 53.139740 -27.920450 1.1777 0.2888 1.4485 0.2406
38392 0.800 53.156930 -27.921330 1.0144 0.6464 1.2055 0.5322
38120 0.930 53.177960 -27.917690 1.3621 0.1577 1.6256 0.1352
39394 0.820 53.139920 -27.920110 1.1128 0.8227 1.1360 0.6366
38445 0.560 53.174070 -27.918450 1.0965 0.9353 1.5212 0.7531
40010 0.830 53.184770 -27.918460 1.1777 0.8157 1.1847 0.4969
39311 0.650 53.153950 -27.919750 1.8324 4.8374 0.3872 0.8872
39842 0.880 53.144060 -27.919440 0.8853 1.1165 1.0131 0.8534
40004 0.910 53.182110 -27.919280 0.6671 0.5417 0.8966 0.7607
39487 0.960 53.145660 -27.919110 0.9172 0.0000 0.8527 0.4975
39987 0.610 53.168960 -27.918980 4.2764 2.2043 1.5824 1.4748
39728 0.770 53.151900 -27.918210 1.0756 1.7810 1.0209 1.0351
39455 0.930 53.141550 -27.918050 1.5237 2.0247 2.0290 2.6421
40790 0.590 53.177620 -27.917390 1.2750 0.0000 0.9229 0.0000
41018 1.010 53.160710 -27.917590 0.3418 0.0000 1.0578 0.0000
41031 0.830 53.167370 -27.917350 0.6178 0.8535 1.0214 0.8509
41172 0.650 53.167960 -27.917300 0.9962 0.0000 1.0673 0.3143
41342 0.920 53.153330 -27.917250 0.8915 0.0000 1.0513 0.5402
41064 0.790 53.188920 -27.914170 1.3824 0.3495 1.3476 0.2461
41499 0.830 53.160620 -27.916860 1.2217 0.6939 1.2787 0.5173
42132 1.060 53.185120 -27.916270 3.1113 0.0000 1.2173 1.7175
41931 1.030 53.152700 -27.915940 0.8602 0.0000 0.7789 0.0000
41546 1.150 53.184950 -27.916070 0.8992 0.6172 1.3161 0.5360
42058 0.940 53.138120 -27.910510 1.0939 0.2220 1.0900 0.1652
42245 0.910 53.191880 -27.912430 1.4496 0.1780 1.3107 0.1134
41540 0.920 53.153370 -27.913960 1.0731 0.1705 1.3296 0.1415
41932 0.940 53.191900 -27.915320 0.9847 0.0000 1.1749 0.0000
41630 1.180 53.183310 -27.915040 1.0836 0.1074 1.0762 0.1525
42014 0.870 53.179500 -27.914650 1.0437 0.5272 1.0600 0.4141
42526 0.750 53.176030 -27.914770 1.0842 0.4471 0.5844 0.2234
41388 0.990 53.171400 -27.914650 1.1445 0.0000 1.1722 0.6397
42430 0.980 53.181410 -27.914720 1.3393 5.9718 2.3382 7.4753
40991 0.990 53.196590 -27.914350 0.9956 0.0000 1.1389 0.1448
43220 0.570 53.156740 -27.913370 1.0413 0.7928 0.9244 0.4821
43079 0.910 53.160820 -27.913850 1.1057 0.0000 0.9619 0.0000
41913 1.100 53.159900 -27.913640 2.0513 2.4137 0.8927 1.4524
44207 0.700 53.151940 -27.913510 1.5374 2.0198 1.6237 1.8572
44367 0.980 53.148110 -27.913060 13.0984 62.5891 -6.3454 22.3998
44060 0.990 53.184780 -27.913400 1.5116 0.4736 1.4477 0.3227
43713 1.310 53.155540 -27.913410 0.8931 0.4322 0.5272 0.2355
44678 1.040 53.160390 -27.913520 1.7156 4.0389 0.3891 1.3585
44001 0.880 53.174960 -27.913060 0.4175 2.0702 0.8490 2.0946
43618 0.740 53.162860 -27.911480 1.8216 2.3439 1.2900 1.4388
44562 1.110 53.155360 -27.913370 1.6100 12.8305 0.7965 3.6213
44835 1.090 53.190270 -27.912380 1.5277 2.4975 1.0017 1.3075
45163 0.890 53.195070 -27.911210 1.0347 0.0000 0.9494 0.1807
44021 0.760 53.185360 -27.912460 0.6887 1.1717 0.2837 0.5877
44078 0.980 53.193370 -27.903870 1.1916 0.1193 1.5381 0.1034
43991 1.020 53.177910 -27.909530 0.8588 0.0952 0.9583 0.0791
44756 0.990 53.175110 -27.909910 1.2013 0.0000 1.1834 0.0000
45026 0.970 53.196660 -27.911460 1.0668 0.0000 0.9003 0.6358
45321 0.560 53.161370 -27.910450 1.1969 0.1269 1.3798 0.3403
46348 0.900 53.171620 -27.910570 1.2392 0.2763 1.4038 0.3690
46085 0.680 53.164920 -27.910830 0.9102 1.8116 1.1999 2.0164
45117 0.970 53.144190 -27.909840 1.1227 0.5412 0.5675 0.2744
45150 0.920 53.141250 -27.907070 1.2160 0.2687 1.6312 0.2387
45506 1.010 53.142980 -27.909360 1.0182 0.5023 1.2833 0.4349
46214 0.940 53.155980 -27.909700 3.4527 0.0000 1.4670 0.0000
45958 0.980 53.153780 -27.909320 0.5056 0.0000 0.9393 0.3925
45496 0.990 53.196590 -27.908620 1.1200 0.5660 1.4329 0.4974
46952 0.940 53.187060 -27.909200 1.5605 0.0000 1.3656 0.0000
45451 0.830 53.154010 -27.908700 1.3159 0.8659 1.0345 0.4629
46694 0.960 53.148500 -27.908320 0.9694 0.2952 1.0542 0.2151
46914 0.920 53.174320 -27.908980 0.7673 0.0000 0.8245 0.0000
46626 0.950 53.182330 -27.908430 1.8795 0.0000 2.5779 2.5310
47644 0.870 53.168690 -27.907430 1.2351 0.5685 1.0967 0.4364
47511 0.940 53.150990 -27.907570 1.2607 0.0000 1.0873 0.6543
46546 1.240 53.151880 -27.907410 0.8836 0.9289 1.4625 1.0664
47252 0.960 53.171400 -27.905210 1.1504 0.0000 1.1014 0.2064
46766 1.020 53.187380 -27.906920 0.9073 1.8388 0.8047 1.8925
46687 0.970 53.166730 -27.906020 0.8189 0.7922 1.1720 0.8210
48681 0.860 53.176780 -27.906120 0.8533 0.4771 1.1180 0.4367
48849 0.570 53.144240 -27.905620 1.3277 0.4728 1.2144 0.3804
48514 0.920 53.160710 -27.906000 1.1075 1.7016 1.6873 1.4177
48954 0.860 53.141370 -27.904970 0.9376 0.0000 1.4373 0.0000
49098 0.870 53.197690 -27.903770 1.2466 0.5707 1.5148 0.5082
48229 0.660 53.146710 -27.904560 1.0357 0.1868 1.2581 0.1535
48216 0.980 53.145920 -27.901460 1.3509 0.2136 1.7267 0.1914
49001 0.830 53.176640 -27.903720 0.9458 0.1871 0.8672 0.1271
48250 1.190 53.175820 -27.903720 1.4091 0.2351 1.1980 0.1384
48189 0.990 53.140510 -27.904660 0.9218 0.0000 1.1374 0.0000
50265 0.690 53.154660 -27.903760 1.4694 0.3476 1.2462 0.2609
50210 0.650 53.183050 -27.903220 1.0513 0.3976 1.2390 0.3362
49779 0.970 53.179950 -27.903800 1.0785 0.5139 1.7094 0.6469
50542 0.950 53.148080 -27.903770 1.0535 0.2973 1.2220 0.2288
49569 0.800 53.171410 -27.903950 1.1837 2.1290 1.2508 1.4123
48650 0.930 53.191910 -27.903920 2.2198 2.6316 1.8373 1.4908
50439 1.070 53.193040 -27.902910 1.1446 2.0777 1.3332 1.5324
50422 0.750 53.157990 -27.902530 0.9693 0.0000 0.8764 0.0000
51485 0.980 53.151420 -27.902620 1.0216 0.5353 1.2019 0.6497
51988 0.700 53.186940 -27.903100 0.8710 0.0000 1.1693 0.0000
51220 1.020 53.164940 -27.902850 0.7808 3.2769 0.8497 2.6354
50670 0.560 53.142650 -27.903210 1.1272 0.0000 0.8138 0.0000
52006 1.260 53.188600 -27.903260 1.1397 9.6992 1.7714 8.0807
51003 0.940 53.160760 -27.902550 0.9384 1.1810 1.0726 1.1090
52241 1.180 53.141870 -27.901910 1.1011 0.1363 1.3809 0.1236
52591 0.840 53.158360 -27.902260 0.5223 4.2191 0.4372 1.2936
52497 0.830 53.175420 -27.902230 0.9664 0.0000 0.8969 0.0000
53198 1.220 53.188490 -27.902750 0.9518 0.7215 1.3814 1.3149
52869 0.770 53.190000 -27.902240 1.9291 2.4380 1.5743 1.3458
53566 0.890 53.157860 -27.902280 2.0782 0.0000 2.6553 1.0747
52948 0.660 53.178910 -27.901940 0.8312 0.8742 1.4728 1.2150
53403 1.040 53.138160 -27.901780 1.0986 0.0000 1.1023 0.0000
52896 0.940 53.142600 -27.899970 1.1336 0.1841 1.4750 0.1592
53921 0.560 53.163280 -27.899370 1.0755 0.1234 1.8963 0.1738
53471 0.830 53.179390 -27.901760 1.5517 0.8400 1.2818 0.5375
54384 0.830 53.164750 -27.900190 1.0848 0.1215 2.2147 0.2128
54697 1.260 53.161390 -27.901870 0.5990 0.7521 1.0993 1.1215
53708 0.690 53.170920 -27.900480 1.3375 0.4155 1.8608 0.4100
54220 1.250 53.148030 -27.901430 0.8359 0.0000 0.9415 0.5809
54327 0.920 53.188580 -27.901280 0.6836 1.1406 0.7897 1.2826
54815 0.790 53.153800 -27.901170 0.6576 0.0000 0.6047 0.4337
54986 0.590 53.143000 -27.901090 1.3477 0.0000 0.7290 0.0000
54689 0.640 53.160680 -27.897110 1.3274 0.1351 1.7643 0.1202
53563 0.870 53.167550 -27.901140 0.3647 0.4564 0.7728 0.7898
54405 0.820 53.145210 -27.897240 1.4156 0.1917 1.8927 0.1781
55063 1.070 53.168300 -27.900260 0.8531 1.2526 1.1940 1.0407
55513 0.660 53.147750 -27.900510 1.0651 0.1849 1.3349 0.2886
55392 1.160 53.142290 -27.900510 1.6125 1.2732 1.1099 0.7265
56190 0.650 53.139190 -27.900440 0.8535 0.7630 0.1867 0.2169
56832 0.910 53.159470 -27.898450 1.2537 0.1887 1.6390 0.1745
57038 0.830 53.152490 -27.900300 1.0356 0.0000 0.6318 0.0000
57178 0.890 53.141210 -27.900470 -23.1115 0.0000 -7.8641 0.0000
58124 1.170 53.141200 -27.899530 1.3693 0.8352 1.2955 0.5478
58595 0.900 53.145470 -27.900230 1.1623 0.0000 1.6791 0.0000
58831 0.560 53.141480 -27.899640 1.1856 2.3101 2.5510 4.9708
58137 0.980 53.156730 -27.899230 15.1252 315.8176 30.5864 637.9046
58650 0.940 53.177620 -27.899390 1.0314 0.3764 1.0425 0.5819
59713 0.580 53.138150 -27.899020 1.2628 0.8642 1.5052 0.6151
59121 0.910 53.184710 -27.898880 2.1987 1.2589 2.1897 1.0713
59472 0.670 53.179390 -27.898440 0.6311 0.0000 0.9773 0.8291
59445 1.020 53.138200 -27.898160 1.5836 0.0000 1.3613 0.0000
59873 1.070 53.156310 -27.897400 1.0956 0.0000 1.1062 0.1072
60049 0.760 53.175350 -27.896840 0.9842 0.3651 1.1759 0.2867
59531 0.740 53.149330 -27.897810 1.1682 0.0000 1.3697 0.0000
59398 1.180 53.184310 -27.897310 1.1202 1.3127 1.3335 1.1360
60003 0.680 53.185760 -27.897270 0.7258 0.5675 1.0569 0.4915
58856 0.580 53.142650 -27.897380 0.5730 0.0000 1.3202 0.8444
59375 1.010 53.181230 -27.894510 1.1949 0.4639 1.3264 0.3459
60666 0.660 53.143910 -27.897700 1.1460 0.0000 0.7832 0.0000
59863 0.800 53.166460 -27.896770 1.5934 1.2516 0.4201 0.3965
60675 0.820 53.139390 -27.897460 1.1286 0.0000 1.1132 0.0000
61065 0.870 53.160640 -27.896350 7.8929 25.4768 4.6177 5.3136
61418 1.170 53.159710 -27.896630 1.8727 0.0000 1.0772 0.1818
61113 1.220 53.142600 -27.895070 1.3542 0.7405 1.9223 0.7559
60858 1.000 53.170030 -27.895420 1.1260 0.1193 1.2445 0.1019
62741 0.600 53.152130 -27.896270 0.9634 0.0000 1.1143 0.4456
61746 0.950 53.139460 -27.895650 1.1470 0.7735 1.1060 0.5227
61291 0.990 53.182460 -27.895720 0.8272 1.5131 1.2917 1.2177
62388 0.940 53.165210 -27.895710 1.2979 0.0000 1.4996 0.1842
62562 0.710 53.185710 -27.895560 0.9562 0.0000 0.9506 0.7620
63084 0.800 53.186140 -27.895060 0.8287 1.1588 1.5678 1.6082
